student_id,course_id,grade_letter
00026662289c,LANG_1,A
00026662289c,ART_1,B
00026662289c,ART_2,C
00026662289c,SOC_1,B
00026662289c,SOC_2,D
00109619b0d2,LANG_1,B
00109619b0d2,SCI_1,B
00109619b0d2,ART_1,B
00109619b0d2,SOC_1,A
00109619b0d2,SCI_2,B
001185d3c76d,SOC_1,C
001185d3c76d,ENG_1,B
001185d3c76d,LANG_1,C
001185d3c76d,SCI_1,C
001185d3c76d,ART_1,A
001185d3c76d,ART_2,B
001185d3c76d,ART_3,B
001605791291,SOC_1,B
001605791291,ENG_1,B
001605791291,SOC_2,A
001605791291,LANG_1,A
001605791291,ART_1,C
001605791291,SOC_3,D
001605791291,ENG_2,B
003c654aac57,SCI_1,A
003c654aac57,ENG_1,A
003c654aac57,LANG_1,A
003c654aac57,ART_1,D
003c654aac57,ART_2,B
003d4f289182,ART_1,A
003d4f289182,SOC_1,B
003d4f289182,LANG_1,B
003d4f289182,LANG_2,C
003d4f289182,SOC_2,B
003d4f289182,MTH_1,C
003d4f289182,MTH_2,B
00482e8e5a1f,ENG_1,B
00482e8e5a1f,ART_1,B
00482e8e5a1f,ENG_2,C
00482e8e5a1f,SOC_1,C
00482e8e5a1f,SOC_2,A
00482e8e5a1f,SCI_1,B
00482e8e5a1f,MTH_1,A
005698efcfb3,LANG_1,B
005698efcfb3,SCI_1,A
005698efcfb3,LANG_2,B
005698efcfb3,SCI_2,D
005698efcfb3,ENG_1,F
005698efcfb3,ART_1,F
005698efcfb3,MTH_1,D
0064342625c4,SCI_1,A
0064342625c4,SCI_2,C
0064342625c4,SCI_3,A
0064342625c4,LANG_1,B
0064342625c4,MTH_1,B
0064342625c4,SOC_1,B
006d05081585,LANG_1,B
006d05081585,SOC_1,A
006d05081585,MTH_1,A
006d05081585,LANG_2,A
006d05081585,MTH_2,B
006d05081585,SCI_1,B
006d05081585,LANG_3,B
0071b2a0c507,SOC_1,B
0071b2a0c507,SCI_1,B
0071b2a0c507,SCI_2,F
0071b2a0c507,ENG_1,A
0071b2a0c507,SOC_2,B
0071b2a0c507,MTH_1,A
0071b2a0c507,MTH_2,C
0076fca4a0de,SOC_1,A
0076fca4a0de,SOC_2,B
0076fca4a0de,SCI_1,B
0076fca4a0de,ART_1,B
007eab7cf10c,MTH_1,C
007eab7cf10c,LANG_1,B
007eab7cf10c,SCI_1,D
007eab7cf10c,ENG_1,B
007eab7cf10c,MTH_2,F
007eab7cf10c,SCI_2,A
008b54a9c256,SOC_1,A
008b54a9c256,ENG_1,B
008b54a9c256,ART_1,C
008b54a9c256,SCI_1,C
008b54a9c256,MTH_1,B
008b54a9c256,SOC_2,C
008b54a9c256,MTH_2,C
008e5a333a93,MTH_1,B
