student_id,quarter,ref_agency
000e2e7c9705,1,AGENCY B
000e2e7c9705,2,AGENCY B
000e2e7c9705,3,AGENCY B
000eb6925494,1,AGENCY D
000eb6925494,2,AGENCY D
000eb6925494,4,AGENCY D
00109619b0d2,2,AGENCY F
00109619b0d2,3,AGENCY F
001185d3c76d,1,AGENCY C
001185d3c76d,2,AGENCY C
001185d3c76d,4,AGENCY C
001605791291,2,AGENCY D
001605791291,4,AGENCY D
003782c8865d,1,AGENCY E
003782c8865d,3,AGENCY E
003c654aac57,1,AGENCY G
003c654aac57,2,AGENCY G
003c654aac57,3,AGENCY G
003d4f289182,2,AGENCY F
003d4f289182,3,AGENCY F
003db9e81132,4,AGENCY C
00482e8e5a1f,3,AGENCY E
00482e8e5a1f,4,AGENCY E
004e8400bf84,4,AGENCY E
004eeb806bf4,1,AGENCY D
004eeb806bf4,2,AGENCY D
004eeb806bf4,3,AGENCY D
0056628ff0ac,4,AGENCY G
005698efcfb3,1,AGENCY D
005698efcfb3,2,AGENCY D
0063b96b9d73,1,AGENCY B
0063b96b9d73,4,AGENCY B
0064342625c4,1,CHI PUB SCH
0064342625c4,2,CHI PUB SCH
0064342625c4,3,CHI PUB SCH
0064342625c4,4,CHI PUB SCH
006990fbd907,1,AGENCY C
006990fbd907,3,AGENCY C
006990fbd907,4,AGENCY C
00708fb91201,4,AGENCY C
0071b2a0c507,2,AGENCY B
0071b2a0c507,3,AGENCY B
0075e3b6184d,2,AGENCY D
0075e3b6184d,3,AGENCY D
0076fca4a0de,1,CHI PUB SCH
0076fca4a0de,2,CHI PUB SCH
0076fca4a0de,3,CHI PUB SCH
00791123db8f,2,AGENCY B
007eab7cf10c,1,AGENCY C
007eab7cf10c,2,AGENCY C
0087ef11fb30,3,AGENCY A
0087ef11fb30,4,AGENCY A
008b54a9c256,2,AGENCY F
008d4ef6102c,2,AGENCY A
008e5a333a93,1,CHI PUB SCH
008e5a333a93,2,CHI PUB SCH
009bfdabe910,1,AGENCY F
009bfdabe910,2,AGENCY F
009bfdabe910,3,AGENCY F
009c1cfd760a,1,AGENCY F
009cc7efcd4e,1,CHI PUB SCH
009cc7efcd4e,3,CHI PUB SCH
009cc7efcd4e,4,CHI PUB SCH
009ea40a9859,1,AGENCY D
009ea40a9859,2,AGENCY D
009ea40a9859,3,AGENCY D
009ea40a9859,4,AGENCY D
00a01623ac1f,1,AGENCY B
00a01623ac1f,2,AGENCY B
00a6316cb6ca,2,AGENCY C
00a6316cb6ca,3,AGENCY C
00a6f87d070f,1,AGENCY C
00a6f87d070f,2,AGENCY C
00a766b0f0fa,1,AGENCY E
00a766b0f0fa,4,AGENCY E
00ab9c8f49b4,1,CHI PUB SCH
00ab9c8f49b4,2,CHI PUB SCH
00ab9c8f49b4,3,CHI PUB SCH
00ae023f1edd,2,AGENCY A
00ae023f1edd,3,AGENCY A
00b5e5ed2ae3,2,CHI PUB SCH
00b5e5ed2ae3,3,CHI PUB SCH
00c5e4bd95c9,2,AGENCY A
00c5e4bd95c9,3,AGENCY A
00d733a71268,2,AGENCY B
00d733a71268,3,AGENCY B
00d733a71268,4,AGENCY B
00dadd76529d,2,CHI PUB SCH
00dadd76529d,3,CHI PUB SCH
00e7cdcc146c,3,AGENCY E
00e7cdcc146c,4,AGENCY E
00e87954467e,1,CHI PUB SCH
00e87954467e,2,CHI PUB SCH
00e87954467e,4,CHI PUB SCH
00ef6b3ce926,1,AGENCY E
00ef6b3ce926,2,AGENCY E
00f0cdfcb50c,2,AGENCY C
00f0cdfcb50c,4,AGENCY C
